Year,cash,S&P 500,tax-exempt bonds,S&P 500,S&P 500,Cash
2078,100,436630.6639007095,161847.57150979887,9483.548639781196,39693.22398422627,2689286.1661662306
2079,100,436498.6243804275,161200.1812237597,9474.065091141416,39653.53076024204,2684204.9742610077
2080,100,436353.8920094081,160555.38049886466,9464.591026050275,39613.877229481805,2679122.237992213
2081,100,436196.19128072105,159913.1589768692,9455.126435024225,39574.263352252325,2674037.956896538
2082,100,436022.06175494584,159273.50634096173,9445.6713085892,39534.68908890007,2668952.130510534
2083,100,435834.66704251664,158636.41231559787,9436.225637280611,39495.154399811174,2663864.7583706146
2084,100,435630.4304542981,158001.8666663355,9426.78941164333,39455.65924541136,2658775.8400130533
2085,100,435409.3688321661,157369.85919967014,9417.362622231687,39416.20358616595,2653685.3749739844
2086,100,435168.41244587593,156740.37976287145,9407.945259609456,39376.78738257979,2648593.362789404
2087,100,434908.25171771785,156113.41824381996,9398.537314349847,39337.41059519721,2643499.802995168
2088,100,434629.6003269714,155488.9645708447,9389.138777035498,39298.07318460201,2638404.695126994
2089,100,434333.1979498113,154867.0087125613,9379.749638258461,39258.77511141741,2633308.038720459
2090,100,434017.3452288617,154247.54067771105,9370.369888620204,39219.51633630599,2628209.8333110027
2091,100,433683.7787228287,153630.5505150002,9360.999518731584,39180.296819969684,2623110.0784339234
2092,100,433334.193321107,153016.0283129402,9351.638519212853,39141.116523149714,2618008.773624381
2093,100,432968.54806537216,152403.96419968846,9342.28688069364,39101.97540662657,2612905.9184173956
2094,100,432589.38354461896,151794.34834288972,9332.944593812947,39062.87343121994,2607801.512347848
2095,100,432198.9648851839,151187.17094951816,9323.611649219134,39023.81055778872,2602695.55495048
2096,100,431799.29762175464,150582.4222657201,9314.288037569915,38984.78674723093,2597588.045759892
2097,100,431391.4186928505,149980.09257665722,9304.973749532344,38945.801960483695,2592478.9843105474
2098,100,430977.42390595225,149380.1722063506,9295.668775782811,38906.85615852321,2587368.3701367676
2099,100,430559.3536604746,148782.6515175252,9286.373107007028,38867.94930236469,2582256.202772736
2100,100,430137.8293317139,148187.5209114551,9277.086733900021,38829.08135306232,2577142.4817524953
2101,100,429713.9225540372,147594.77082780926,9267.809647166121,38790.25227170926,2572027.206609948
2102,100,429288.4368451062,147004.39174449802,9258.541837518955,38751.462019437546,2566910.3768788585
2103,100,428861.96721734316,146416.37417752002,9249.283295681436,38712.71055741811,2561791.9920928497
2104,100,428435.02204030164,145830.70868080994,9240.034012385755,38673.99784686069,2556672.051785405
2105,100,428007.83709881076,145247.3858460867,9230.79397837337,38635.32384901383,2551550.5554898675
